################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.2465451963865204E+00   3.1038109531160134E+00   2.2577436873984125E+00   1.8427145856741917E-01
         1          2   8.1480140278353730E-01   1.7522353830617066E+00   1.3220552658408005E+00   9.1173903502563755E-02
         1          3   8.4789624131707064E-01   2.3447812546331757E+00   1.6442407363761866E+00   1.4765016409694168E-01
         1          4   6.0390522707505778E-01   1.3485339274356176E+00   1.0160168197806205E+00   7.2599420265702194E-02
         1          5   4.0981499723578152E-01   1.4278681138874780E+00   9.1527340638410637E-01   9.8254937739337286E-02
         1          6   3.8084746255181934E-01   8.5070631130116736E-01   6.5423626788149625E-01   4.8997490598667426E-02
         1          7   1.9814831584815526E-01   7.9495810964643421E-01   4.6387471547396619E-01   6.0937547517414564E-02
         1          8   2.7141216568242171E-01   5.5355493616938989E-01   4.3019437959087886E-01   3.4260161538145942E-02
         1          9   2.2719899614934641E-01   1.0323178301594749E+00   5.5928863737721690E-01   8.5192972617462392E-02
         1         10   3.2510336259196682E-01   6.8714761929367696E-01   5.2243131080588801E-01   5.0487931644258660E-02
         1         11   1.2136058797842907E-01   6.5920033006111811E-01   3.0143507034191697E-01   5.6829304535870921E-02
         1         12   3.0901978792399648E-01   5.8161307665798445E-01   4.3910430485142282E-01   4.9900412610245158E-02
         1         13   4.4581553776012903E-02   3.8820627209067271E-01   1.3700350819073293E-01   3.2087738301910626E-02
         1         14   3.0131421276731268E-01   5.5329621410350294E-01   3.8366781548523926E-01   4.1109988511529402E-02
         1         15   2.2215996696143309E-03   2.1904410361247736E-01   3.0226946968842514E-02   1.4357255496929257E-02
         1         16   2.8116959228844235E-01   4.9142607850419184E-01   3.3363059069078821E-01   1.7032740153161276E-02
         1         17   1.8466325087214467E-02   2.5445420272620117E-01   1.1445648325257214E-01   2.4024048330670681E-02
