################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.0459816704496738E+00 a         1     0     1     1     1
  2.8217684164141930E+00 a         2     0     1     1     2
  7.8995614580102727E+00 a         3     0     1     1     3
  9.5341174359122434E+00 a         4     0     1     1     4
 -2.0624159630704875E+00 a         5     0     1     1     5
 -2.2275937703586390E+01 a         6     0     1     1     6
  1.5642528010715711E+01 a         7     0     1     1     7
 -4.6219819743895396E-01 a         8     0     1     1     8
 -4.8458473097422132E+00 a         9     0     1     1     9
 -2.8939095036178530E+00 a        10     0     1     1    10
  2.5840456014900992E-01 a        11     0     1     1    11
 -2.4816989091679869E+00 a        12     0     1     1    12
  1.3356446194908836E+01 a        13     0     1     1    13
 -1.0339097309187013E+01 a        14     0     1     1    14
  1.8026958468083031E+01 a        15     0     1     1    15
  6.7425191965241709E+00 a        16     0     1     1    16
  5.1194339510190527E+00 a        17     0     1     1    17
 -1.7106812536982732E+00 a        18     0     1     1    18
 -1.0931550984719614E+01 a        19     0     1     1    19
  4.4084097426084234E+00 a        20     0     1     1    20
  1.2244218185728887E+01 a        21     0     1     1    21
 -2.8716569812144650E+00 a        22     0     1     1    22
  3.9588025114686443E+00 a        23     0     1     1    23
 -2.1544610594361218E+00 a        24     0     1     1    24
  2.9458208346231745E+00 a        25     0     1     1    25
 -1.0182803760400565E+01 a        26     0     2     1     1
 -1.0995824010918072E+01 a        27     0     2     1     2
 -1.0384430597859874E+01 a        28     0     2     1     3
  1.7915510619992505E+00 a        29     0     2     1     4
  6.0885327075646165E+00 a        30     0     2     1     5
  3.7538752175494309E+01 a        31     0     2     1     6
 -3.4016803370801525E+00 a        32     0     2     1     7
  1.0535196612959451E+01 a        33     0     2     1     8
  2.8405154325281129E-01 a        34     0     2     1     9
  6.5464542236884160E+00 a        35     0     2     1    10
  1.1409440072450391E+01 a        36     0     2     1    11
  2.4072818412788393E+00 a        37     0     2     1    12
 -7.3249294662230753E+00 a        38     0     2     1    13
  1.8395176634326699E+01 a        39     0     2     1    14
 -2.3423358193947138E+01 a        40     0     2     1    15
  4.8925517226640070E+00 a        41     0     2     1    16
 -9.3549678962343013E+00 a        42     0     2     1    17
 -8.1410134643979042E+00 a        43     0     2     1    18
 -1.9012512277986911E+01 a        44     0     2     1    19
 -1.0334105194839388E+01 a        45     0     2     1    20
  2.7107314325275738E+00 a        46     0     2     1    21
 -7.3713484895361212E+00 a        47     0     2     1    22
 -6.5680344549260212E+00 a        48     0     2     1    23
 -6.9563040558146145E+00 a        49     0     2     1    24
  9.8470095292799513E+00 a        50     0     2     1    25
 -9.6023150112149658E+00 a        51     0     3     1     1
 -9.7828300109310966E+00 a        52     0     3     1     2
 -9.9374503848310525E+00 a        53     0     3     1     3
 -1.5592248762672083E+01 a        54     0     3     1     4
 -3.0235206284289036E+00 a        55     0     3     1     5
  2.3930298911406876E+01 a        56     0     3     1     6
 -2.0055240889788390E+01 a        57     0     3     1     7
 -1.0081839365068939E+00 a        58     0     3     1     8
 -4.8147315153680532E+00 a        59     0     3     1     9
  1.7332081777206969E+00 a        60     0     3     1    10
 -2.0754258349455966E+01 a        61     0     3     1    11
  1.3474585900374327E+01 a        62     0     3     1    12
 -1.8922164632653939E+01 a        63     0     3     1    13
  2.6708270202162798E+00 a        64     0     3     1    14
 -1.8768464614473316E+01 a        65     0     3     1    15
 -1.3075589701207475E+01 a        66     0     3     1    16
 -1.4549973755053873E+00 a        67     0     3     1    17
 -5.9244873639097362E-02 a        68     0     3     1    18
  3.6750566192102127E+01 a        69     0     3     1    19
 -1.0149066477352759E+01 a        70     0     3     1    20
 -2.6024622752499052E+01 a        71     0     3     1    21
  1.1186280378016102E+01 a        72     0     3     1    22
 -5.6101164726405628E+00 a        73     0     3     1    23
  5.1944700090976603E+00 a        74     0     3     1    24
 -1.6920812927180716E+01 a        75     0     3     1    25
  3.1826820691943112E+01 a        76     0     4     1     1
  1.7718867719414373E+01 a        77     0     4     1     2
  2.2179531703629511E+01 a        78     0     4     1     3
 -1.5194891318825661E+00 a        79     0     4     1     4
 -6.9100811351390048E+00 a        80     0     4     1     5
 -5.5636166939739546E+01 a        81     0     4     1     6
 -5.4956241437777651E+00 a        82     0     4     1     7
 -1.4931589214480692E+01 a        83     0     4     1     8
 -5.5797922046963033E-01 a        84     0     4     1     9
 -3.0731199741080895E+00 a        85     0     4     1    10
 -1.1405111292109805E+01 a        86     0     4     1    11
 -1.0914435955013122E+01 a        87     0     4     1    12
  8.8491748192330668E+00 a        88     0     4     1    13
 -2.5058112380232057E+01 a        89     0     4     1    14
  2.8714997654182781E+01 a        90     0     4     1    15
 -5.7901416236143328E+00 a        91     0     4     1    16
  6.2934060463096646E+00 a        92     0     4     1    17
  1.5447140876357105E+01 a        93     0     4     1    18
  3.5369878451023673E+01 a        94     0     4     1    19
  1.5862374904903943E+01 a        95     0     4     1    20
 -5.2639490777933053E+00 a        96     0     4     1    21
  4.5096302754187914E+00 a        97     0     4     1    22
  9.9691441017496576E+00 a        98     0     4     1    23
  8.6065602559355696E+00 a        99     0     4     1    24
 -1.2534903374540590E+01 a       100     0     4     1    25
  1.1947020492335611E+01 a       101     0     5     1     1
  2.7481348242027597E+00 a       102     0     5     1     2
  6.2590667850237400E+00 a       103     0     5     1     3
  2.0559665785125421E+01 a       104     0     5     1     4
 -5.1077107746850645E+00 a       105     0     5     1     5
 -1.8676524496351526E+01 a       106     0     5     1     6
 -6.0546177458140704E+00 a       107     0     5     1     7
  2.1272188003640832E+01 a       108     0     5     1     8
 -1.5989352786288048E+01 a       109     0     5     1     9
  6.2650413363902864E+00 a       110     0     5     1    10
  3.8076099220248821E+01 a       111     0     5     1    11
